Id;Nama Makanan;Harga;Deskripsi;Gambar
1;Nasi Goreng Campur;24.300;Nasi Goreng+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617252074249/detail/menueditor_item_1c824c413b604a6196561f63e6437bca_1692206619595649206.webp
2;Nasi Goreng Spesial;19.800;Nadi Goreng+Ayam+Bakso+Telor Campur+Telor Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616290665885/detail/menueditor_item_e8caf6f1df40489198c6dd678f414e66_1692203333835595876.webp
3;Nasi Goreng Seafood;22.200;Nasi Goreng+Udang+Cumi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617121831252/detail/menueditor_item_e60f90daee554cba8bc1ae8183fc6d29_1692205931251029673.webp
4;Nasi Goreng Sapi;23.100;Nasi Goreng+Daging Sapi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617150065710/detail/menueditor_item_0468d4b98afe4aec978805f285a7c457_1692206081131891505.webp
5;Nasi Goreng Ikan Asin;22.500;Nasi Goreng+Teri Medan+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617222524771/detail/menueditor_item_a42eef778d6d435c9c6fa7a6f6b5bdeb_1692206422467188976.webp
6;Nasi Goreng Ati Ampla;20.700;Nasi Goreng+Ati+Ampla+Bakso+Krupuk. Gambar Hanya Pemanis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617173602163/detail/menueditor_item_79ff5882513947e69c5610a86c339fee_1692206239138500873.webp
7;Nasi Goreng Ayam;18.900;Nasi Goreng+Ayam+Bakso+Telor Campur+Kerupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616245238010/detail/menueditor_item_23355e8467324c6aa55ffcff4e2ec475_1692203074193689456.webp
8;Nasi Goreng Sosis;18.000;Nasi Goreng+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617194624926/detail/menueditor_item_e562214ec10f4a65b1d0e2f7a8b01ebc_1692206302307722789.webp
9;Nasi Goreng Mawut Ayam;21.600;Nasi Goreng Campur Mie+Ayam+Bakso+Telur Canpur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620494370956/detail/menueditor_item_25c825989b794ee3afb12eeb3dcc9911_1692219987772623497.webp
10;Nasi Goreng Mawut Seafood;24.300;Nasi Goreng campur Mie+Udang+Cumi+Bakso+Telur Campur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620505553929/detail/menueditor_item_0086c0aabef246c2adf3dd0c29c72205_1692220008088029251.webp
