Id;Nama Makanan;Harga;Deskripsi;type;Gambar
1;Triple Treat;69.000;3Pc Chicken + 3Rice + 3 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240906185343105219/detail/35b72949_13401.webp
2;9 Pcs Chicken Bucket;179.000;9 Potong Ayam;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430194824271703/detail/9b0e92e3_3546.webp
3;Super Besar 2;53.500;2 pc Chicken + 1 Rice + 1 Sprite Medium;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250130211149011529/detail/ba52be2e_3518.webp
4;Winger Bucket Promo;106.000;7 Pcs Half winger;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250315205929010120/detail/7ad9112c_10084.webp
5;1 Pc Chicken;23.500;1pc Chicken;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184831061502/detail/582fb795_11387.webp
6;5 Pcs Chicken;112.500;5 Pcs Chicken;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184832104600/detail/1e049429_13731.webp
7;KFC Puas Burger;15.000;Crispy Burger + Softdrink Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250216184520017625/detail/493de7c8_13691.webp
8;KFC Puas Noodle;15.000;Noodle + Softdrink Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250216184520057226/detail/5dc260b7_13692.webp
9;KFC Puas Nasi Uduk;15.000;Nasi Uduk + Softdrink Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250216184521033292/detail/3cea7502_13693.webp
10;LDR Package;26.500;1Pc Chicken + 1Rice + 1 Coke Zero Reg;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240913185425161783/detail/c2565426_13427.webp
11;KFC Noodle Combo;75.000;2 KFC Noodle + 4 Tahu Bakso + 2 Coca Cola Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250306184747035757/detail/56abf30e_13872.webp
12;Winger Barbeque Fest 1;37.500;1 ½ Winger (3 Drumette & 3 Wingette) Barbeque;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250307194954010331/detail/3d5cacc6_13803.webp
13;Winger Barbeque Fest 2;59.000;2 ½ Winger (5 Drumette & 5 Wingette) Barbeque;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250307194953010543/detail/e8a38962_13806.webp
14;Triple Treat;69.000;3Pc Chicken + 3Rice + 3 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240906185343105219/detail/35b72949_13401.webp
15;Combo Latte 1;50.000;1 Pc Chicken + 1 Rice + 1 Spaghetti Deluxe New + 1 Ice Latte Nescafe;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240514185046041383/detail/54509052_13161.webp
16;Combo Latte 2;42.500;1 Pc Chicken + 1 Crispy Burger + 1 Ice Latte Nescafe;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240514185045059588/detail/6e73bd50_13162.webp
17;Nasi Uduk;20.500;Nasi Uduk;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250113184235085496/detail/c4d1cf97_13650.webp
18;Nasi Uduk+Telur Dadar;26.500;1 Nasi Uduk + 1 Telur Dadar;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250113184236038424/detail/18075ea4_13656.webp
19;Sup Tahu Bakso;16.000;2 Tahu Bakso;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250119184220015740/detail/5090088a_13665.webp
20;KFC Noodle;16.000;1 porsi KFC Noodle;food;https://food-cms.grab.com/compressed_webp/items/IDITE20241105035230030152/detail/464382e3_13534.webp
21;Add On Sambal Bawang;3.000;1 Sambal Bawang Sachet;food;https://food-cms.grab.com/compressed_webp/items/IDITE20241105035336019927/detail/3aa8ec9d_13576.webp
22;Don Series With Egg;26.000;1 porsi Don Series + 1 Egg;food;https://food-cms.grab.com/compressed_webp/items/IDITE20241222184303026911/detail/89fd67a5_11518.webp
23;Hot Chocolate Nescafe;15.500;Hot Chocolate Nescafe;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240831185351064523/detail/9580c467_13308.webp
24;Iced Chocolate Float Nescafe;19.500;Iced Chocolate Float Nescafe;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240831185350196638/detail/0e9d9438_13311.webp
25;Avocado Float;17.500;Avocado Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240503185542121501/detail/38888e2a_12104.webp
26;Super Komplit 1;55.000;1 Crispy Burger + Half Winger + 1 French Fries Reg + 1 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240731185400240606/detail/9f527579_12666.webp
27;Super Komplit 2;49.000;1 Pc Chicken + 1 Rice + 1 Cream Soup + 1 Mocha Float;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240731185335073689/detail/1ca9188a_12670.webp
28;Super Komplit 3;54.500;1 Pc Chicken + 1 Rice + 1 porsi Chicken Strips + 1 Mocha Float;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240731185406136535/detail/d5f0e9e5_12674.webp
29;Super Komplit 4;64.000;1 Pc Chicken + 1 Rice + 1 Colonel Burger + 1 Mocha Float;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240731185416140290/detail/880790ee_12678.webp
30;Super Family;139.000;5 Pcs Chicken + 3 Pcs Rice + 3 Sprite Medium;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240731185423143247/detail/85be0a9a_12571.webp
31;Super Besar 1;40.500;1 pc Chicken + 1 Rice + 1 Sprite Medium;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250130211148037467/detail/5234ee6c_3516.webp
32;Super Besar 2;53.500;2 pc Chicken + 1 Rice + 1 Sprite Medium;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250130211149011529/detail/ba52be2e_3518.webp
33;Breakfast Combo 1;15.000;1 Original Porridge + Hot Tea / Hot Coffee;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430195722053144/detail/e8d5a0ad_11260.webp
34;Breakfast Combo 2;23.500;1 Chicken Porridge + Hot Tea / Hot Coffee;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430195731234684/detail/1c63746c_11261.webp
35;Kombo OR Burger Single;56.000;1 OR Burger Single + 1 French Fries Reguler + 1 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430195745070604/detail/e5f71f53_11145.webp
36;Kombo OR Burger Double;67.000;1 OR Burger Double + 1 French Fries Reguler + 1 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430195758275399/detail/d6402211_11157.webp
37;Kombo Colonel Burger;58.000;1 Colonel Burger + 1 French Fries Reguler + 1 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430195814052844/detail/ed96eef0_11169.webp
38;Kombo Crispy Burger;44.500;1 Crispy Burger + 1 French Fries Reguler + 1 Fanta Reguler;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240503185702300305/detail/2cabf59f_11181.webp
39;9 Pcs Chicken Bucket;179.000;9 Potong Ayam;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430194824271703/detail/9b0e92e3_3546.webp
40;Winger Bucket Promo;106.000;7 Pcs Half winger;food;https://food-cms.grab.com/compressed_webp/items/IDITE20250315205929010120/detail/7ad9112c_10084.webp
41;Snack Bucket BBQ 1;92.500;1 Porsi French Fries Large + 4 pcs Chicken Strips + 1 KFC Winger + 6 pcs Chicken Balls + Bumbu BBQ;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430194801041929/detail/50fbdb19_5443.webp
